# Barnet recycling collection data from:
# http://www.ectrecycling.co.uk/page/421
# http://www.ectrecycling.co.uk/page/422
# http://www.ectrecycling.co.uk/page/423
# collected 4-Jul-2011
# Note: must contain the following title line:
street,postcode,type,days
Edward Road,EN4 8AY,R,Tuesday
Edwin Road,HA8 9EY,R,Monday
Edwyn Close,EN5 2QR,R,Tuesday
Egerton Gardens,NW4 4BB,R,Friday
Elder Close, N20,R,Wednesday
Eleanor Crescent,,R,Thursday
Eleanor Gardens,EN5 2RP,R,Tuesday
Elizabeth Close,EN5 4DP,R,Tuesday
Elkanet Mews,N20 0PF,R,Wednesday
Ellesmere Avenue,NW7 3EU,R,Monday
Ellesmere Grove,,R,Tuesday
Elliot Road,NW4 3DL,R,Monday
Elm Close,NW4 2PH,R,Friday
Elm Gardens,N2 0TF,R,Thursday
Elm Grove,NW2 3AE,R,Friday
Elm Road, EN5,R,Tuesday
Elm Terrace,,R,Friday
Elm Walk,,R,Friday
Elm Walk,NW3 7UP,R,Friday
Elm Way,N11 3NP,R,Wednesday
Elm Park Gardens,NW4 2PJ,R,Friday
Elm Park Road,N3 1EB,R,Thursday
Elmbank Avenue,EN5 3DS,R,Tuesday
Elmcroft Avenue,NW11 0RR,R,Friday
Elmcroft Crescent,NW11 9SY,R,Friday
Elmer Gardens,HA8 9AR,R,Monday
Elmfield Road,N2 8EB,R,Thursday
Elmgate Gardens,HA8 9RT,R,Monday
Elmhurst Avenue,N 2,R,Friday
Elms Avenue,NW4 2PL,R,Friday
Elmshurst Crescent,N2 0LN,R,Friday
Elmstead Close,N20 8ER,R,Wednesday
Elsinore Gardens,NW2 1SS,R,Friday
Elton Avenue,EN5 2EA,R,Tuesday
Elvington Lane,NW9 5WB,R,Monday
Emmott Close,NW11 6PU,R,Friday
Endersby Road,EN5 3AH,R,Tuesday
Endersleigh Gardens,NW4 4SE,R,Monday
Engel Park,NW7 2HB,R,Thursday
Erskine Hill,NW11 6EY,R,Friday
Escot Way,EN5 3AN,R,Tuesday
Esmar Crescent,NW9 7BL,R,Monday
Essex Park,N3 1ND,R,Thursday
Etchingham Park Road,N3 2DS,R,Thursday
Eton Avenue,N12 0BD,R,Thursday
Eton Avenue,EN4 8TU,R,Tuesday
Evelyn Road,EN4 9JT,R,Tuesday
Eversfield Gardens,NW7 2AE,R,Monday
Eversleigh Road,N3 1HY,R,Thursday
Eversleigh Road,EN5 1ND,R,Tuesday
Exchange Close,,R,Wednesday
Exeter Road,N14 5JS,R,Wednesday
Faber Gardens,NW4 4NR,R,Monday
Fairfax Way,,R,Wednesday
Fairfield Avenue,,R,Monday
Fairfield Avenue,NW4 3TN,R,Monday
Fairfield Close,N12 9ST,R,Wednesday
Fairfield Crescent,HA8 9AF,R,Monday
Fairfield Way,EN5 2BG,R,Tuesday
Fairholme Close,N3 3EE,R,Thursday
Fairlawn Avenue,N2 9PS,R,Thursday
Fairmead Crescent,HA8 8YH,R,Monday
Fairview Way,HA8 8JE,R,Monday
Fairway Close,NW11 6TR,R,Friday
Fairway Court,,R,Monday
Fakenham Close,NW7 2SD,R,Thursday
Falcon Way,NW9 5DT,R,Monday
Falkland Avenue,N3 1QR,R,Thursday
Falkland Avenue,N11 1JS,R,Wednesday
Falkland Road,EN5 4LG,R,Tuesday
Falloden Way,NW11 6JD,R,Friday
Fallow Court Avenue,N12 0BE,R,Thursday
Fallowfields Drive,N12 0TA,R,Thursday
Fallows Close,N2 8LG,R,Thursday
Farm Avenue,NW2 2BH,R,Friday
Farm Close,EN5 3BS,R,Tuesday
Farm Close,,R,Wednesday
Farm Road,HA8 9LP,R,Monday
Farnham Close,N20 9PU,R,Tuesday
Featherstone Road,NW7 2BL,R,Thursday
Fell Walk,HA8 0BH,R,Monday
Fenstanton Avenue,N12 9HA,R,Wednesday
Ferncroft Avenue,N12 0LN,R,Wednesday
Ferney Road,EN4 8LA,R,Wednesday
Fernhurst Gardens,HA8 7PQ,R,Monday
Fernside Avenue,NW7 3AR,R,Monday
Fernside,,R,Friday
Fernwood Crescent,N20 0RN,R,Wednesday
Field End,EN5 3EZ,R,Tuesday
Field Mead,NW7 2LB,R,Monday
Finch Close,EN5 2TP,R,Tuesday
Finchley Lane,NW4 1BN,R,Friday
Finchley Park,N12 9JJ,R,Wednesday
Finchley Road,NW2 2HN,R,Friday
Finchley Road, NW2,R,Friday
Finchley Way,N3 1AG,R,Thursday
FINCHLEY ROAD (GOLDERS GREEN ROAD - HENDON WAY),,R,Friday
Fire Station Alley,,R,Tuesday
Firethorn Close,HA8 9GF,R,Monday
Firs Avenue,N11 3NE,R,Wednesday
First Avenue,NW4 2RJ,R,Friday
Fitzalan Road,N3 3PD,R,Thursday
Fitzjohn Avenue,EN5 2HE,R,Tuesday
Florence Street,NW4 1QG,R,Monday
Flower Lane,NW7 2JA,R,Thursday
Folkingham Lane,NW9 5LR,R,Monday
Folkington Corner,N12 7BH,R,Thursday
Font Hills,N2 8LE,R,Thursday
Fordham Close,EN4 9AJ,R,Tuesday
Forres Gardens,NW11 7EX,R,Friday
Fortescue Road,HA8 0HN,R,Monday
Fortis Green,N2 9EL,R,Thursday
Foscote Road,NW4 3SD,R,Monday
Fourland Walk,HA8 9EP,R,Monday
Foxwood Close,NW7 3JF,R,Thursday
Framfield Close,N12 7HH,R,Wednesday
Francklyn Gardens,HA8 8RT,R,Monday
Franklin Close,N20 9QT,R,Tuesday
Fredericks Place,N12 8QE,R,Wednesday
Freston Park,N3 1UP,R,Thursday
Friars Avenue,N20 0XE,R,Wednesday
Friars Walk,N14 5LH,R,Wednesday
Friary Close,N12 9AR,R,Wednesday
Friary Road,N12 9HU,R,Wednesday
Friary Way,N12 9PE,R,Wednesday
Friern Park,N12 9DA,R,Wednesday
Friern Park,N12 9DE,R,Wednesday
Friern Barnet Lane,N11 3LF,R,Wednesday
Friern Barnet Road,N11 1ND,R,Wednesday
Friern Mount Drive,N20 9DJ,R,Tuesday
Friern Watch Avenue,N12 9NT,R,Wednesday
Frith Court, NW7,R,Thursday
Frith Lane,NW7 1JA,R,Thursday
Fryent Crescent,NW9 7HH,R,Monday
Fryent Grove,NW9 7HE,R,Monday
Fulbeck Drive,NW9 5LH,R,Monday
Fuller Street,NW4 4QL,R,Monday
Fursby Avenue,N3 1PL,R,Thursday
Gadsbury Close,NW9 7EZ,R,Monday
Gainsborough Gardens,NW11 9BJ,R,Friday
Gainsborough Road,N12 8AA,R,Wednesday
Galdana Avenue,EN5 5LJ,R,Tuesday
Gallants Farm Road,EN4 8EL,R,Wednesday
Galley Lane,EN5 4AJ,R,Tuesday
Galsworthy Road,NW2 2SJ,R,Friday
Games Road,,R,Tuesday
Garden Close,EN5 3EW,R,Tuesday
Garden City,HA8 7NQ,R,Monday
Gardeners Close,N11 1DS,R,Wednesday
Garratt Road,HA8 9AN,R,Monday
Garrick Avenue,NW11 9AS,R,Friday
Garrick Drive,NW4 1HJ,R,Thursday
Garrick Park,NW4 1JN,R,Thursday
Garrick Road,NW9 6AA,R,Monday
Garrick Way,NW4 1TA,R,Friday
Garsdale Close,N11 3EF,R,Wednesday
Garth Road,NW2 2NH,R,Friday
Garthland Drive,EN5 3AZ,R,Tuesday
Garthway,N12 0QY,R,Thursday
Gaskarth Road,HA8 0DG,R,Monday
Gatcombe Way,EN4 9TT,R,Tuesday
Gatting Close,,R,Monday
Gaydon Lane,NW9 5WA,R,Monday
George Crescent,N10 1AN,R,Wednesday
Gervase Road,HA8 0EN,R,Monday
Gibbs Green,HA8 9RH,R,Monday
Gilbert Grove,HA8 0HJ,R,Monday
Gillingham Road,NW2 1RL,R,Friday
Gillum Close,EN4 8NE,R,Wednesday
Gladsmuir Road,EN5 4PJ,R,Tuesday
Gladstone Place,,R,Tuesday
Glebe Crescent,NW4 1BT,R,Friday
Glebe Lane,EN5 3JY,R,Tuesday
Glebe Road,N3 2BA,R,Thursday
Glendale Avenue,HA8 8HF,R,Monday
Glendevon Close,HA8 8RG,R,Monday
Glendor Gardens,NW7 3JY,R,Thursday
Glengall Road,HA8 8RA,R,Monday
Glenhill Close,N3 2JS,R,Thursday
Glenhurst Road,N12 9UB,R,Wednesday
Glenmere Avenue,NW7 2LT,R,Thursday
Glenthorne Road,N11 3HJ,R,Wednesday
Glenwood Road,NW7 4LH,R,Monday
Gloucester Drive,NW11 6BH,R,Friday
Gloucester Gardens,NW11 9AB,R,Friday
Gloucester Grove,HA8 0ER,R,Monday
Gloucester Road,EN5 1LZ,R,Tuesday
Glyn Avenue,,R,Tuesday
Gold Hill,HA8 9BY,R,Monday
Golda Close,EN5 2LX,R,Tuesday
Goldbeaters Grove,HA8 0PY,R,Monday
Golders Close,HA8 9QD,R,Monday
Golders Gardens,NW11 9BP,R,Friday
Golders Rise,NW4 2HR,R,Friday
Golders Way,NW11 8JX,R,Friday
Golders Green Crescent,NW11 8LA,R,Friday
Golders Green Road,NW11 8BB,R,Friday
Golders Manor Drive,NW11 9HT,R,Friday
Golders Park Close,NW11 7QR,R,Friday
Goldrill Drive, N11,R,Wednesday
Goldsmith Avenue,NW9 7ET,R,Monday
Goldsmith Road,N11 3JA,R,Wednesday
Golfside Close,N20 0RD,R,Wednesday
Goodwyn Avenue,NW7 3RG,R,Thursday
Goodwyns Vale,N10 2HA,R,Wednesday
Goodyers Gardens,NW4 2HD,R,Monday
Gordon Road,N3 1EH,R,Thursday
Grace Close,,R,Monday
Graham Road,NW4 3DG,R,Monday
Grahame Park Way,NW7 2LA,R,Monday
Grampian Gardens,NW2 1JH,R,Friday
Grange Avenue,N12 8DJ,R,Thursday
Grange Avenue,N20 8AA,R,Wednesday
Grange Avenue,EN4 8NJ,R,Wednesday
Grange Close,HA8 9PQ,R,Monday
Grange Hill,HA8 9PE,R,Monday
Grange Road,HA8 0PP,R,Monday
Grange View Road,,R,Tuesday
Grangeway,N12 8SR,R,Wednesday
Grantham Close,HA8 8DL,R,Monday
Grants Close,NW7 1DD,R,Thursday
Granville Road,NW2 2LA,R,Friday
Granville Road,N12 0HL,R,Thursday
Granville Road,EN5 4DS,R,Tuesday
Grass Park,N3 1UB,R,Thursday
Grassington Close,N11 3FJ,R,Wednesday
Grasvenor Avenue,EN5 2BA,R,Tuesday
Gratton Terrace,NW2 6PF,R,Friday
Graywood Court,N12 0JJ,R,Thursday
Great Strand,NW9 5NR,R,Monday
Great Bushey Drive,N20 8QL,R,Wednesday
Great North Road,(StAlbansRoad-GreenacreClo se),R,Tuesday
Great North Road,(GreenhillPark-NorthumberlandRo ad),R,Tuesday
Great North Way,NW4 1DY,R,Friday
Great North Way,(ParsonStreet-FivewaysCornerNorthbou nd),R,Monday
Great North Way,NW4 1JB,R,Thursday
Green Avenue,NW7 4PX,R,Thursday
Green Bank,N12 8AS,R,Wednesday
Green Close,NW11 6UX,R,Friday
Green Lane,NW4 2AG,R,Friday
Green Lane,HA8 7PJ,R,Monday
Green Road,N20 0QT,R,Wednesday
Green Walk,NW4 2AJ,R,Friday
Greenacre Close,,R,Tuesday
Greenbank Crescent,NW4 2LA,R,Friday
Greenfield Gardens,NW2 1HT,R,Friday
Greenhalgh Walk,N2 0DJ,R,Friday
Greenhill Park,EN5 1HG,R,Tuesday
Greenland Road,EN5 2AL,R,Tuesday
Greenside Close,N20 0PA,R,Wednesday
Greenway,N20 8ED,R,Wednesday
Greenway Close,NW9 5AZ,R,Monday
Greenway Close,N11 3NS,R,Wednesday
Greenway Close,N20 8ES,R,Wednesday
Grenville Close,N3 1UF,R,Thursday
Grenville Place,NW7 3SA,R,Monday
Gresham Avenue,N20 0XJ,R,Wednesday
Gresham Gardens,NW11 8NX,R,Friday
Grey Close,NW11 6QG,R,Friday
Greyhound Hill,NW4 4JB,R,Monday
Grimsdyke Crescent,EN5 4AG,R,Tuesday
Grindleford Avenue,N11 1JN,R,Wednesday
Grosvenor Gardens,NW11 0HE,R,Friday
Grosvenor Road,N3 1EX,R,Thursday
Grove Avenue,N3 1QP,R,Thursday
Grove Gardens,NW4 4SA,R,Monday
Grove Road,HA8 7NW,R,Monday
Grove Road,EN4 9DE,R,Tuesday
Grove Road,N12 9DS,R,Wednesday
Gruneisen Road,N3 1LS,R,Thursday
Guildown Avenue,N12 7DE,R,Wednesday
Gunter Grove,HA8 0HB,R,Monday
Gurney Drive,N2 0DE,R,Friday
Hackforth Close,EN5 3BT,R,Tuesday
Hadley Common,EN5 5QD,R,Tuesday
Hadley Green,EN5 4PQ,R,Tuesday
Hadley Grove,EN5 4PH,R,Tuesday
Hadley Ridge,EN5 5TE,R,Tuesday
Hadley Road,EN5 5QH,R,Tuesday
Hadley Green Road,EN5 5PP,R,Tuesday
Hadley Green West,EN5 4PP,R,Tuesday
Hadley Highstone,EN5 4PB,R,Tuesday
Haldane Close,N10 2PB,R,Wednesday
Hale Close,HA8 9PB,R,Monday
Hale Drive,NW7 3DR,R,Monday
Hale Lane,NW7 3NU,R,Monday
Hale Lane,HA8 7AX,R,Monday
Hale Grove Gardens,NW7 3LP,R,Monday
Hall Lane,NW4 4TJ,R,Monday
Hall Street,N12 8DB,R,Thursday
Halliwick Road,N10 1AA,R,Wednesday
Hallswelle Road,NW11 0DH,R,Friday
Halton Close,N11 3HQ,R,Wednesday
Hamilton Close,EN4 9HF,R,Tuesday
Hamilton Road,NW11 9DY,R,Friday
Hamilton Road,N2 0SG,R,Friday
Hamilton Way,N3 1AN,R,Thursday
Hamlet Square,NW2 1SR,R,Friday
Hamlyn Close,HA8 8DB,R,Monday
Hammers Lane,NW7 4BY,R,Thursday
Hammond Close,EN5 2EQ,R,Tuesday
Hamonde Close,HA8 8TG,R,Monday
Hampden Road,N10 2NY,R,Wednesday
Hampden Square,N14 5DL,R,Wednesday
Hampden Way,N14 5AU,R,Wednesday
Hampden Way,N14 5AX,R,Wednesday
Hampstead Gardens,NW11 7EU,R,Friday
Hampstead Heights,N2 0PX,R,Friday
Hampstead Lane,NW3 7JP,R,Friday
Hampstead Way,,R,Friday
Hampstead Way,NW11 7DN,R,Friday
Hampton Close,N11 3PR,R,Wednesday
Handowe Close, NW4,R,Monday
Hankins Lane,NW7 3AA,R,Monday
Hanshaw Drive,HA8 0HP,R,Monday
Harcourt Avenue,HA8 8YJ,R,Monday
Hardy Close,EN5 2FA,R,Tuesday
Harford Walk,N2 0JB,R,Friday
Harman Close,,R,Friday
Harman Drive,NW2 2EA,R,Friday
Harmony Close,NW11 0JJ,R,Friday
Harmony Way,,R,Friday
Harmsworth Way,N20 8JU,R,Wednesday
Harrier Road,NW9 5BN,R,Monday
Harrison Close,N20 9JX,R,Wednesday
Harrowes Meade,HA8 8RP,R,Monday
Hartland Close,HA8 8RL,R,Monday
Hartland Drive, HA8,R,Monday
Hartland Road,N11 3JH,R,Wednesday
Hartley Close,NW7 2HY,R,Thursday
Harwood Close,N12 0TG,R,Thursday
Haslemere Avenue,NW4 2PX,R,Friday
Haslemere Avenue,EN4 8EU,R,Wednesday
Haslemere Gardens,N3 3EA,R,Thursday
Hasluck Gardens,EN5 1HS,R,Tuesday
Hatchcroft,NW4 4JH,R,Monday
Hatley Close,N11 3LN,R,Wednesday
Hawkins Close,NW7 3SX,R,Monday
Hawthorn Grove,EN5 3EN,R,Tuesday
Hawthornden Close,N12 0TB,R,Thursday
Hayes Crescent,NW11 0DD,R,Friday
Haynes Close,N11 1HH,R,Wednesday
Hayward Road,N20 0HA,R,Wednesday
Hazel Gardens,HA8 8PB,R,Monday
Hazel Mead,EN5 3LP,R,Tuesday
Heath Close,NW11 7DS,R,Friday
Heath View,N2 0QA,R,Friday
Heath View Close,N2 0PY,R,Friday
Heather Gardens,NW11 9HS,R,Friday
Heather Walk,HA8 9UJ,R,Monday
Heatherdene Close,N12 0JQ,R,Thursday
Heatherleigh Close, NW7,R,Friday
Heatherton Terrace,N 3,R,Thursday
Heathfield Gardens,NW11 9HX,R,Friday
Heathgate,NW11 7AN,R,Friday
Heddon Road,EN4 9LD,R,Tuesday
Heddon Court Avenue,EN4 9NG,R,Tuesday
Hedgerow Lane,,R,Tuesday
Helen Close,N2 0UU,R,Friday
Helenslea Avenue,NW11 8ND,R,Friday
Heming Road,HA8 9AB,R,Monday
Hemingford Close,N12 9HF,R,Wednesday
Hemington Avenue,N11 3LR,R,Wednesday
Hemswell Drive,NW9 5WN,R,Monday
Hendale Avenue,NW4 4LP,R,Monday
Hendon Avenue,N3 1UE,R,Thursday
Hendon Lane,N3 1RR,R,Thursday
Hendon Way,NW2 1JJ,R,Friday
Hendon Way,,R,Monday
Hendon Park Row,N W11,R,Friday
Hendon Wood Lane,NW7 4HR,R,Thursday
Henry Road,EN4 8BD,R,Tuesday
Herbert Road,NW9 6AD,R,Monday
Hereford Avenue,EN4 8EX,R,Wednesday
Heriot Road,NW4 2EG,R,Monday
Hermitage Gardens,NW2 2EZ,R,Friday
Herons Gate,HA8 7LD,R,Monday
Herons Rise,EN4 9RT,R,Tuesday
Hertford Close,EN4 9BG,R,Tuesday
Hertford Road,N2 9BU,R,Thursday
Hertford Road,EN4 9AY,R,Tuesday
Hervey Close,N3 2HD,R,Thursday
Heton Gardens,NW4 4XS,R,Monday
Hexham Road,EN5 5HJ,R,Tuesday
Heywood Avenue,NW9 5LN,R,Monday
Hibiscus Close,HA8 9GA,R,Monday
High Mount,,R,Monday
High Road,N12 0AY,R,Thursday
High Road,N2 9AB,R,Thursday
High Road,N20 0EW,R,Tuesday
High Street,HA8 7EF,R,Monday
High Street,NW7 1QY,R,Thursday
High Street,EN5 5RT,R,Tuesday
High Trees,EN4 9QQ,R,Tuesday
Highcroft Gardens,NW11 0LX,R,Friday
Highfield Avenue,NW11 9ET,R,Friday
Highfield Gardens,NW11 9HA,R,Friday
Highfield Road,NW11 9LS,R,Friday
Highgrove Close,N11 3PT,R,Wednesday
Highlands Road,EN5 5AB,R,Tuesday
Highview Avenue,HA8 9TX,R,Monday
Highview Gardens,HA8 9UB,R,Monday
Highview Gardens,N3 3EX,R,Thursday
Highwood Avenue,N12 8QL,R,Wednesday
Highwood Grove,NW7 3LX,R,Monday
Highwood Hill,NW7 4ET,R,Thursday
Hill Close,NW11 7JP,R,Friday
Hill Close,EN5 3AG,R,Tuesday
Hill Crescent,N20 8HB,R,Wednesday
Hill Rise,NW11 6LX,R,Friday
Hill Top,NW11 6DY,R,Friday
Hillary Rise,EN5 5AZ,R,Tuesday
Hillcourt Avenue,N12 8HA,R,Thursday
Hillcrest Avenue,NW11 0EN,R,Friday
Hillcrest Avenue,HA8 8NY,R,Monday
Hillcrest Gardens,N3 3EY,R,Thursday
Hillersdon Avenue,HA8 7SG,R,Monday
Hillfield Avenue,NW9 6NX,R,Monday
Hillier Close,EN5 1BD,R,Tuesday
Hillside,EN5 1LT,R,Tuesday
Hillside Avenue,N11 3BH,R,Wednesday
Hillside Drive,HA8 7PF,R,Monday
Hillside Gardens,HA8 8HA,R,Monday
Hillside Gardens,EN5 2NG,R,Tuesday
Hillside Grove,NW7 2LR,R,Thursday
Hilltop Gardens,NW4 1JE,R,Monday
Hillview Gardens,NW4 2JG,R,Friday
Hillview Road,,R,Thursday
Hilton Avenue,N12 9HB,R,Wednesday
Hobart Close,N20 0TT,R,Wednesday
Hobbs Green,N2 0TG,R,Thursday
Hobbs Green,N2 0TG,R,Thursday
Hocroft Avenue,NW2 2EH,R,Friday
Hocroft Avenue,NW2 2EJ,R,Friday
Hocroft Road,NW2 2BL,R,Friday
Hocroft Walk,,R,Friday
Hodford Road,NW11 8EG,R,Friday
Hogarth Hill,NW11 6AX,R,Friday
Holcombe Hill,NW7 4ES,R,Thursday
Holden Avenue,,R,Wednesday
Holden Road,N12 7DD,R,Wednesday
Holden Road, N12,R,Wednesday
Holdenhurst Avenue,N12 0HX,R,Thursday
Holder Close,N3 2UD,R,Thursday
Holders Hill Avenue,NW4 1EN,R,Thursday
Holders Hill Crescent,NW4 1ND,R,Thursday
Holders Hill Drive,NW4 1NH,R,Thursday
Holders Hill Gardens,NW4 1NP,R,Thursday
Holders Hill Road,NW4 1EJ,R,Thursday
Holland Close,EN5 1DJ,R,Tuesday
Hollickwood Avenue,N12 0LS,R,Wednesday
Hollies End,NW7 2RY,R,Thursday
Holly Park,N3 3JA,R,Friday
Holly Park Gardens,N3 3NG,R,Friday
Holly Park Road,N11 3EY,R,Wednesday
Hollyfield Avenue,N11 3BY,R,Wednesday
Hollyview Close,NW4 3SZ,R,Monday
Holmbrook Drive,NW4 2LT,R,Friday
Holmdale Gardens,NW4 2LX,R,Friday
Holmdene Avenue,NW7 2LX,R,Thursday
Holmes Avenue,NW7 1PA,R,Thursday
Holmfield Avenue,NW4 2LP,R,Friday
Holmwood Gardens,N3 3NS,R,Thursday
Holmwood Grove,NW7 3DS,R,Monday
Holne Chase,N2 0QG,R,Friday
Holyoake Walk,N2 0JX,R,Friday
Holyrood Road,EN5 1DG,R,Tuesday
Homefield Gardens,N2 0NA,R,Friday
Homefield Road,HA8 0PS,R,Monday
Homesfield,NW11 6HN,R,Friday
Honiton Gardens, NW7,R,Friday
Hook Walk,HA8 9EQ,R,Monday
Hoop Lane,NW11 7NG,R,Friday
Hoop Lane,NW11 8BS,R,Friday
Hopkins Close,N10 2PF,R,Wednesday
Hornbeam Close,NW7 4PL,R,Thursday
Hornbeams Rise,N11 3PB,R,Wednesday
Horsecroft Road,HA8 0PA,R,Monday
Horseshoe Lane,N20 8NJ,R,Wednesday
Horsham Avenue,N12 9BE,R,Wednesday
Horton Avenue,NW2 2SA,R,Friday
Howard Close,NW2 2SR,R,Friday
Howard Close,N11 1EH,R,Wednesday
Howard Walk,N2 0HB,R,Friday
Howard Way,EN5 2QL,R,Tuesday
Howcroft Crescent,N3 1PA,R,Thursday
Howes Close,N3 3NX,R,Thursday
Hughes Close,N12 8DF,R,Thursday
Huntingdon Road,N2 9DU,R,Thursday
Huntley Drive,N 3,R,Thursday
Hurst Close,NW11 7BE,R,Friday
Hurst Rise,,R,Tuesday
Hurstwood Road,NW11 0AS,R,Friday
Hutchings Walk,NW11 6LT,R,Friday
Hutton Grove,N12 8DR,R,Thursday
Hutton Row,,R,Monday
Hyde Close,EN5 5TJ,R,Tuesday
Hyde Crescent,NW9 7EY,R,Monday
Hyver Hill,NW7 4HU,R,Monday
Hyver Caravan Park,,R,Monday
Ibsley Way,EN4 9EY,R,Tuesday
Ingle Way,N12 0QL,R,Thursday
Ingleway,N12 0QJ,R,Thursday
Inglis Barracks,NW7 1EP,R,Thursday
Ingram Avenue,NW11 6TG,R,Friday
Ingram Road,N2 9QA,R,Thursday
Ireton Close,N10 2PQ,R,Wednesday
Iris Walk,,R,Monday
Irvine Close,N20 0BN,R,Wednesday
Islip Gardens,HA8 9EU,R,Monday
Ivere Drive,EN5 1AS,R,Tuesday
Jackson Road,EN4 8UT,R,Wednesday
Jade Close,NW2 1XE,R,Friday
James Close,N W11,R,Friday
Jarvis Close,EN5 2RH,R,Tuesday
Jennings Way,EN5 4EQ,R,Tuesday
Johns Avenue,NW4 4EN,R,Friday
Johnston Terrace,NW2 6QJ,R,Friday
Julian Close,EN5 5NN,R,Tuesday
Juliana Close,N2 0TJ,R,Friday
Juniper Close,EN5 2RZ,R,Tuesday
Kara Way,,R,Friday
Kates Close,EN5 3NB,R,Tuesday
Keely Close,EN4 9PS,R,Tuesday
Kenerne Drive,EN5 2NW,R,Tuesday
Kenilworth Road,HA8 8XA,R,Monday
Kenley Avenue,NW9 5WP,R,Monday
Kenley Close,EN4 9QJ,R,Tuesday
Kennard Road,N11 3JL,R,Wednesday
Kensington Close,N11 3PU,R,Wednesday
Kenver Avenue,N12 0PG,R,Thursday
Kenwood Close,NW3 7JL,R,Friday
Kerri Close,EN5 3ER,R,Tuesday
Kestrel Close,NW9 5DJ,R,Monday
Kettlewell Close,N11 3FB,R,Wednesday
Kidlington Way,NW9 5WX,R,Monday
King Street,N2 8DY,R,Thursday
King Edward Road,EN5 5AR,R,Tuesday
King Edward Road,EN5 5AN,R,Tuesday
Kingfisher Way,,R,Monday
Kings Close,NW4 2JT,R,Friday
Kings Drive,HA8 8EB,R,Monday
Kings Road,,R,Tuesday
Kingsbridge Drive, NW7,R,Friday
Kingsbury Road,NW9 7HU,R,Monday
Kingsgate Avenue,N3 3BE,R,Friday
Kingsley Close,N2 0ES,R,Friday
Kingsley Way,N2 0EH,R,Friday
Kingsmead,EN5 5AY,R,Tuesday
Kingston Road,EN4 8BN,R,Tuesday
Kingswood Close,N20 9PX,R,Tuesday
Kingswood Park,N3 1UG,R,Thursday
Kinloss Gardens,N3 3DU,R,Thursday
Kinross Close,HA8 8QY,R,Monday
Kirkby Close,N11 3FE,R,Wednesday
Kirton Walk,HA8 0TY,R,Monday
Kitchener Road,N2 8AS,R,Thursday
Knightswood Close,HA8 8FR,R,Monday
Knoll Drive,N14 5LT,R,Wednesday
Laburnum Close,N11 3NR,R,Wednesday
Lacey Drive,HA8 8GD,R,Monday
Ladysmith Close,NW7 2SL,R,Thursday
Lakeside Crescent,EN4 8QH,R,Tuesday
Laleham Avenue,NW7 3HL,R,Monday
Lambert Road,N12 9ER,R,Wednesday
Lanacre Avenue,NW9 5FN,R,Monday
Lancaster Close,NW9 5RE,R,Monday
Lancaster Road,EN4 8AH,R,Tuesday
Lancelot Gardens,EN4 8JY,R,Wednesday
Laneside,HA8 9PL,R,Monday
Langford Crescent,EN4 9EG,R,Tuesday
Langford Road,EN4 9DU,R,Tuesday
Langham Gardens,HA8 9EG,R,Monday
Langham Road,HA8 9EE,R,Monday
Langley Crescent,HA8 9SZ,R,Monday
Langley Park,NW7 2AA,R,Monday
Langley Row,,R,Tuesday
Langstone Way, NW7,R,Friday
Langton Avenue,N20 9BZ,R,Tuesday
Lankaster Gardens,N2 9AJ,R,Thursday
Lansdowne Road,N3 1ES,R,Thursday
Larch Close,N11 3NU,R,Wednesday
Larkspur Grove,HA8 9GB,R,Monday
Latimer Road,EN5 5NF,R,Tuesday
Laurel Gardens,NW7 3HA,R,Monday
Laurel View,N12 7DT,R,Wednesday
Laurel Way, N20,R,Wednesday
Lawrence Avenue,NW7 4NL,R,Thursday
Lawrence Court,NW7 3QP,R,Thursday
Lawrence Gardens,NW7 4JU,R,Thursday
Lawrence Street,NW7 4JE,R,Thursday
Lawrence Campe Close,N20 0LY,R,Wednesday
Lawton Road,EN4 9BS,R,Tuesday
Layfield Close,NW4 3UE,R,Monday
Layfield Crescent,NW4 3UD,R,Monday
Layfield Road,NW4 3UG,R,Monday
Leadbeaters Close,N11 3JF,R,Wednesday
Lee Close,EN5 5HP,R,Tuesday
Lee Road, NW7,R,Thursday
Leecroft Road,EN5 2TH,R,Tuesday
Leemount Close,,R,Friday
Leeside,EN5 2PD,R,Tuesday
Leeside Crescent,NW11 0DA,R,Friday
Legion Way,N12 0QF,R,Thursday
Leicester Road,N2 9EA,R,Thursday
Leicester Road,EN5 5DB,R,Tuesday
Leopold Road,N2 8BG,R,Thursday
Leslie Road,N2 8BH,R,Thursday
Lewes Road,N12 9NH,R,Wednesday
Lewis Gardens,N2 9AN,R,Thursday
Lexington Way,EN5 2SN,R,Tuesday
Lichfield Close,EN4 9TR,R,Tuesday
Lichfield Grove,N3 2JG,R,Thursday
Lichfield Road,NW2 2RE,R,Friday
Lidbury Square,NW7 1EU,R,Thursday
Lime Grove,N20 8PU,R,Wednesday
Limes Avenue,NW11 9TJ,R,Friday
Limes Avenue,NW7 3PA,R,Monday
Limes Avenue,N12 8QN,R,Wednesday
Lincoln Avenue,N14 7LG,R,Wednesday
Lincoln Road,N2 9DH,R,Thursday
Linden Lea,N2 0RF,R,Friday
Linden Road,N11 1ER,R,Wednesday
Linfield Close,NW4 1BZ,R,Friday
Lingholm Way,EN5 2SP,R,Tuesday
Link Road,N11 3AN,R,Wednesday
